date,symbol,exchange,stock_price_for_iv,period,delta,moneyness,strike,iv
09/21/2017,IWM,NYSEArca,143.7300,30,10,0.033012,148.415,0.088965
09/21/2017,IWM,NYSEArca,143.7300,30,15,0.026784,147.494,0.089044
09/21/2017,IWM,NYSEArca,143.7300,30,20,0.022096,146.804,0.090193
09/21/2017,IWM,NYSEArca,143.7300,30,25,0.018021,146.207,0.091416
09/21/2017,IWM,NYSEArca,143.7300,30,30,0.014473,145.689,0.093857
09/21/2017,IWM,NYSEArca,143.7300,30,35,0.011026,145.188,0.096358
09/21/2017,IWM,NYSEArca,143.7300,30,40,0.007554,144.685,0.098516
09/21/2017,IWM,NYSEArca,143.7300,30,45,0.004052,144.179,0.100865
09/21/2017,IWM,NYSEArca,143.7300,30,50,0.000438,143.659,0.103202
09/21/2017,IWM,NYSEArca,143.7300,30,55,-0.003357,143.115,0.106017
09/21/2017,IWM,NYSEArca,143.7300,30,60,-0.007458,142.529,0.10946
09/21/2017,IWM,NYSEArca,143.7300,30,65,-0.012036,141.878,0.113769
09/21/2017,IWM,NYSEArca,143.7300,30,70,-0.017291,141.134,0.118878
09/21/2017,IWM,NYSEArca,143.7300,30,75,-0.023532,140.256,0.125015
09/21/2017,IWM,NYSEArca,143.7300,30,80,-0.031349,139.164,0.132935
09/21/2017,IWM,NYSEArca,143.7300,30,85,-0.042196,137.663,0.144914
09/21/2017,IWM,NYSEArca,143.7300,30,90,-0.059375,135.318,0.164635
09/21/2017,IWM,NYSEArca,143.7300,60,10,0.053204,151.556,0.100789
09/21/2017,IWM,NYSEArca,143.7300,60,15,0.043764,150.132,0.102107
09/21/2017,IWM,NYSEArca,143.7300,60,20,0.036394,149.029,0.104048
09/21/2017,IWM,NYSEArca,143.7300,60,25,0.029945,148.071,0.106116
09/21/2017,IWM,NYSEArca,143.7300,60,30,0.024051,147.201,0.108565
09/21/2017,IWM,NYSEArca,143.7300,60,35,0.018419,146.374,0.111376
09/21/2017,IWM,NYSEArca,143.7300,60,40,0.012799,145.554,0.114176
09/21/2017,IWM,NYSEArca,143.7300,60,45,0.00709,144.726,0.117054
09/21/2017,IWM,NYSEArca,143.7300,60,50,0.001184,143.873,0.120022
09/21/2017,IWM,NYSEArca,143.7300,60,55,-0.005032,142.982,0.123301
09/21/2017,IWM,NYSEArca,143.7300,60,60,-0.011727,142.028,0.127095
09/21/2017,IWM,NYSEArca,143.7300,60,65,-0.019252,140.963,0.132463
09/21/2017,IWM,NYSEArca,143.7300,60,70,-0.027867,139.754,0.13848
09/21/2017,IWM,NYSEArca,143.7300,60,75,-0.038071,138.335,0.145587
09/21/2017,IWM,NYSEArca,143.7300,60,80,-0.050959,136.564,0.155135
09/21/2017,IWM,NYSEArca,143.7300,60,85,-0.068028,134.252,0.167367
09/21/2017,IWM,NYSEArca,143.7300,60,90,-0.094489,130.746,0.187407
09/21/2017,IWM,NYSEArca,143.7300,90,10,0.068377,153.544,0.1053
09/21/2017,IWM,NYSEArca,143.7300,90,15,0.057132,151.827,0.108206
09/21/2017,IWM,NYSEArca,143.7300,90,20,0.048033,150.451,0.111281
09/21/2017,IWM,NYSEArca,143.7300,90,25,0.039956,149.241,0.114475
09/21/2017,IWM,NYSEArca,143.7300,90,30,0.032311,148.105,0.117543
09/21/2017,IWM,NYSEArca,143.7300,90,35,0.024917,147.014,0.120822
09/21/2017,IWM,NYSEArca,143.7300,90,40,0.017516,145.93,0.124131
09/21/2017,IWM,NYSEArca,143.7300,90,45,0.01,144.837,0.127927
09/21/2017,IWM,NYSEArca,143.7300,90,50,0.002138,143.703,0.13168
09/21/2017,IWM,NYSEArca,143.7300,90,55,-0.006196,142.51,0.135667
09/21/2017,IWM,NYSEArca,143.7300,90,60,-0.015228,141.229,0.140353
09/21/2017,IWM,NYSEArca,143.7300,90,65,-0.025228,139.823,0.145492
09/21/2017,IWM,NYSEArca,143.7300,90,70,-0.036704,138.228,0.151873
09/21/2017,IWM,NYSEArca,143.7300,90,75,-0.050187,136.377,0.159171
09/21/2017,IWM,NYSEArca,143.7300,90,80,-0.066972,134.107,0.168642
09/21/2017,IWM,NYSEArca,143.7300,90,85,-0.089554,131.112,0.181937
09/21/2017,IWM,NYSEArca,143.7300,90,90,-0.122824,126.822,0.200819
09/21/2017,IWM,NYSEArca,143.7300,120,10,0.082493,155.642,0.109577
